,beijing,chicago,dubai,las vegas,london,montreal,new delhi,new york city,san francisco,shanghai
atlanic,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
unlv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"late,(or",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nastalgia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
dan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hada,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
next vegas,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
dixies,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bungalo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
more!!!!but,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
s.a.s.s.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mccarran,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
saddle west,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pahrump,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
michelobs,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
san remos,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
new york hotel,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0
problems?vegas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
las vegas?&quot,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hooters.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
slob,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
good:-$60,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
santa monica,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0
kick!i,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
room)--so,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
excaliburs,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hallwayi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
wynns,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
harrah's,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
alana,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
chepaer strip,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
checkin,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
jetblue,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
awful,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tampa,0.0,0.0,0.0,5.0,2.0,0.0,0.0,4.0,3.0,0.0
special&quot,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
places.and,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
w. sahara,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
worst!no,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
a vegas buffet,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
las vegas 24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
las vegas 1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
guardalajara,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
oyster bar,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
vegas blvd,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
calamari appetizer,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ps,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
new york pizza,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0
boulder strip,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
marilyn,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0
scams,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ta vegas,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ho silver,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7.30pm,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
o'shays,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
juliet,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
chiffarobe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tbe strip,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
splurg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
noise .great,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
restaurants,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fremont ave,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
west virginia!1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
shreveport/bossier city,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
toby,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
junior,0.0,0.0,0.0,1.0,1.0,1.0,0.0,8.0,0.0,0.0
mirage,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
las vega's,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
me)-,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
not?&quot,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
hehehehe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
las vegas town center,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
dean martin drive,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cesars palace,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
believe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
right?).the,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
las vegas 3,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
last resort,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tower ii,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
regale,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
jamacia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
osheas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fargo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pasty,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0
new york/new york,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
vacation village,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
sorta,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
gr,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
michgian,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tower1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
the canadian dollar,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
the southern strip,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
monorail--,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
south of strip,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
the central strip,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
spongebob,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
exc.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
san diego hotel,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
faire,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lasvegas .we,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
twain,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
east tropicana,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
block).if,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
del frisco's,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0
"wynn, ventian",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ketchup,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
las vegas!!would,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
huntington beach's,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
las vagas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
red-rock,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sunset or10:00pm,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
harrah’s,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
compton,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
durng,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
leann,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
the fremont strip,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
summerbay,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
dvd.bathroom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
frisco,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0
summer bay,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
whe,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
tony roma's,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
e.c.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lights,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
belagio,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
encore,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lot!)we,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
the disnyfied strip,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
price!quick,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
el cortez's,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
the el cabana,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
j.p.,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
las vegas.[a,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
masquerade village,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
slingo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
strat,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
the masquerade village,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
penn gillette,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
yelp,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cw,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
roomm,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
ipanema,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
oj,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
vegas'on,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
the sky,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
iand,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
great vegas,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
impanema,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
the seafood buffet,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
mandalay!i,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
wendover,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
noodle place,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
advance,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
saphirre beach,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sand beach,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
zoomanity,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
theit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
san paulo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
the village bar,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sao paulo,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
casinos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fritter appetizer,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rio nevada,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rio las vegas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
d.j.,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0
strip view,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
falcon ridge,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
casablanca casinos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
new walmart,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nice!roomservice,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
las vegas blv,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
door?the,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
goldstar,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
price&amp,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
room deluxe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ipod hookup,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cesar,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
location&quot;,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
room?the,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
margarittaville,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
ceasors,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neon city,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
battista,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
shreveport,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
brand,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
margueritaville,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
falmingo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tryina,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
loose).we,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
valetwe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i.p.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
o'sheas,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
bills gamblin,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tix4today,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bed!the pool area,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
wynne,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
m.c.,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
the city center,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
vegas?,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
las vegas avenue,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
daniela,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
monco,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sbarros,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
mexican,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
hoover,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0
cabanas,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
middle of strip,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
belligio,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
treasure islands,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
snax,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
summer vegas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
west jet,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lake charles,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
trop.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm.if,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hagendaz,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
columbus ohio,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
danish,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
bluegreen,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
anchorage,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
east flamingo,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
peaceful,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
biloxi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mountain view,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
l. vegas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mack,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
here).is,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ugly:-i,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pink taco's,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
vegas?we,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
faux beach,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hook!!!always,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
italain,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
lucky,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
flemingo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bubba,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
in-------so,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ur honeymoon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bose,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
thought--,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
vegas casinos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
woodstock,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
guac,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
plumber,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
deleted*****in,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
las vegashowever,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
passerby,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rock,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
hard rock's,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
new york-new york,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
the vegas area,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
billie,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
priced!i,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
vom strip,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
westgate,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
moorea,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0
laguna,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
las vegaswe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
san lucas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
c.c.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tahti village,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
barbeque,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0
red rock state park,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
bld,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tahitian,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
crownd,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hollister,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
rangely,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bldg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
thahiti village,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
arkansas,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
warm springs,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
necropolis,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tahitti village,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
marriott beach,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tahiti joe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
grand canyon,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
trip advisors,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0
sandy beach area,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bathroom5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
laudry,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tahit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
malibu,0.0,0.0,0.0,2.0,3.0,0.0,0.0,9.0,1.0,0.0
mazuri,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
limos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
balcony,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
hotels).2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
the canary islands,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
conclusiontahiti village,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lifeguards--,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hampton inn - good,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
taille,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
taco,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
wingstop,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
non-strip,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
puerto vallarta,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
boise,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
las vegas strip',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
patron,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
n.las vegas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
banquet,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
mind!contact,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bungy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
teresa,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0
the strip on flamingo road,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
monterrey,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
rio and gc,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
the gaza strip,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
